ParkID,FacilityCount,FacilityType,FacilityURL
217,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
217,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
218,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
218,3,Soccer Fields,
218,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
218,1,Softball,
218,1,Rugby Fields,
218,4,Tennis Courts,
218,1,Washrooms,
218,1,Beaches,//vancouver.ca/parks-recreation-culture/beaches.aspx
218,1,Baseball Diamonds,
218,1,Field Hockey,
218,1,Ultimate Fields,
218,1,Washrooms,
218,1,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
219,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
219,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
219,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
219,1,Beaches,//vancouver.ca/parks-recreation-culture/beaches.aspx
219,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
219,1,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
219,1,Washrooms,
220,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
220,1,Washrooms,
220,1,Beaches,//vancouver.ca/parks-recreation-culture/beaches.aspx
220,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
220,2,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
220,1,Washrooms,
221,1,Baseball Diamonds,
221,2,Bowling Greens,
221,1,Field Houses,
221,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
221,2,Soccer Fields,
221,4,Tennis Courts,
221,2,Basketball Courts,
221,1,Washrooms,
221,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
221,1,Wading Pool,
222,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
222,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
224,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
224,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
225,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
228,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
228,1,Field Hockey,
228,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
228,1,Jogging Trails,
228,1,Soccer Fields,
228,2,Ultimate Fields,
231,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
233,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
234,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
234,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
235,1,Water/Spray Parks,
235,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
236,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
236,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
237,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
240,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
240,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
240,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
241,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
244,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
245,2,Soccer Fields,
245,2,Field Hockey,
245,1,Ultimate Fields,
245,1,Washrooms,
246,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
